sure_no,sure_ismi,bolum,ayet_no,kaynak,ayet
1,Al-Fatihah,1,1,Kuran,name allahthe compassionate merciful
1,Al-Fatihah,1,2,Kuran,praise allahlord worlds
1,Al-Fatihah,1,3,Kuran,compassionate merciful
1,Al-Fatihah,1,4,Kuran,master day judgment
1,Al-Fatihah,1,5,Kuran,alone worship alone ask help
1,Al-Fatihah,1,6,Kuran,guide us along straight path
1,Al-Fatihah,1,7,Kuran,path blessednot displease astray
2,Al-Baqarah,1,1,Kuran,
2,Al-Baqarah,1,2,Kuran,book doubt
2,Al-Baqarah,1,3,Kuran,believe unseen establish prayer donate provide
2,Al-Baqarah,1,4,Kuran,believe reveal prophet reveal sure faith hereafter
2,Al-Baqarah,1,5,Kuran,truly guide lord successful
2,Al-Baqarah,1,6,Kuran,persist disbelief whether warn notthey never believe
2,Al-Baqarah,1,7,Kuran,allah seal hearts hear sight cover suffer tremendous punishment
2,Al-Baqarah,1,8,Kuran,say believe allah last day yet true believers
2,Al-Baqarah,1,9,Kuran,seek deceive allah believers yet deceive fail perceive
2,Al-Baqarah,1,10,Kuran,sickness hearts allah let sickness increase suffer painful punishment lie
2,Al-Baqarah,1,11,Kuran,tell spread corruption land reply
2,Al-Baqarah,1,12,Kuran,indeed corruptors fail perceive
2,Al-Baqarah,1,13,Kuran,tell believe others believe reply believe fool believe indeed fool know
2,Al-Baqarah,1,14,Kuran,meet believers say believe alone evil associate say definitely mock
2,Al-Baqarah,1,15,Kuran,allah throw mockery back leave continue wander blindly defiance
2,Al-Baqarah,1,16,Kuran,ones trade guidance misguidance trade profitless rightly guide
2,Al-Baqarah,1,17,Kuran,example someone kindle fire light around allah take away light leave complete darknessunable see
2,Al-Baqarah,1,18,Kuran,wilfully deaf dumb blind never return right path
2,Al-Baqarah,1,19,Kuran,catch rainstorm sky darkness thunder lightning press finger ears sound every fear death allah encompass disbelievers might
2,Al-Baqarah,1,20,Kuran,lightning snatch away sight whenever lightning strike walk light darkness cover stand still allah will could take away hear sight surely allah capable everything
2,Al-Baqarah,1,21,Kuran,humanity worship lord create may become mindful
2,Al-Baqarah,1,22,Kuran,one make earth place settlement sky canopy send rain sky cause fruit grow provision knowingly set equal allah worship
2,Al-Baqarah,1,23,Kuran,doubt reveal servant produce srah like call helpers allah say true
2,Al-Baqarah,1,24,Kuran,unable soand never able sothen fear fire fuel people stone prepare disbelievers
2,Al-Baqarah,1,25,Kuran,give good news prophet believe good garden rivers flow whenever provide fruit say give serve fruit look similar taste different pure spouses forever
2,Al-Baqarah,1,26,Kuran,surely allah shy away use parable mosquito even smaller believers know truth lord disbelievers argue allah mean parable test leave many stray guide many leave none stray except rebellious
2,Al-Baqarah,1,27,Kuran,violate allahs covenant affirm break whatever tie allah order maintain spread corruption land true losers
2,Al-Baqarah,1,28,Kuran,deny allah lifeless give life cause die bring life return
2,Al-Baqarah,1,29,Kuran,one create everything earth turn towards heaven form seven heavens perfect knowledge things
2,Al-Baqarah,1,30,Kuran,remember lord say angels go place successive human authority earth ask allah place someone spread corruption shed blood glorify praise proclaim holiness allah respond know know
2,Al-Baqarah,1,31,Kuran,teach adam name things present angels say tell name say true
2,Al-Baqarah,1,32,Kuran,reply glory knowledge except teach us truly
2,Al-Baqarah,1,33,Kuran,allah say adam inform name adam allah say tell know secrets heavens earth know reveal conceal
2,Al-Baqarah,1,34,Kuran,remember say angels prostrate adam become unfaithful
2,Al-Baqarah,1,35,Kuran,caution adam live wife paradise eat freely please approach tree else wrongdoers
2,Al-Baqarah,1,36,Kuran,satan deceive themleading fall blissful state find earth residence provision appoint stay
2,Al-Baqarah,1,37,Kuran,adam inspire word prayer lord accept repentance surely accepter repentance merciful
2,Al-Baqarah,1,38,Kuran,say descend guidance come whoever follow fear grieve
2,Al-Baqarah,1,39,Kuran,disbelieve deny sign residents fire forever
2,Al-Baqarah,1,40,Kuran,children israel remember favour upon fulfil covenant fulfil mine stand awe alone
2,Al-Baqarah,1,41,Kuran,believe revelations confirm scriptures mindful
2,Al-Baqarah,1,42,Kuran,mix truth falsehood hide truth knowingly
2,Al-Baqarah,1,43,Kuran,establish prayer pay bow bow
2,Al-Baqarah,1,44,Kuran,preach righteousness fail practice although read scripture understand
2,Al-Baqarah,1,45,Kuran,seek help patience prayer indeed burden except humble
2,Al-Baqarah,1,46,Kuran,certain meet lord return
2,Al-Baqarah,1,47,Kuran,children israel remember favour grant honour others
2,Al-Baqarah,1,48,Kuran,guard day soul help another intercession accept ransom take help give
2,Al-Baqarah,1,49,Kuran,remember deliver people pharaoh afflict dreadful torment slaughter sons keep women severe test lord
2,Al-Baqarah,1,50,Kuran,remember part sea rescue drown pharaohs people eye
2,Al-Baqarah,1,51,Kuran,remember appoint forty nights moses worship calf absence act wrongfully
2,Al-Baqarah,1,52,Kuran,even still forgive perhaps would grateful
2,Al-Baqarah,1,53,Kuran,remember give moses scripturethe standard distinguish right wrong perhaps would rightly guide
2,Al-Baqarah,1,54,Kuran,remember moses say people people surely wrong worship calf turn repentance creator execute among best sight creator accept repentance surely accepter repentance merciful
2,Al-Baqarah,1,55,Kuran,remember say moses never believe see allah eye thunderbolt strike look
2,Al-Baqarah,1,56,Kuran,bring back life death perhaps would grateful
2,Al-Baqarah,1,57,Kuran,remember shade cloud send manna quail say eat good things provide evildoers certainly wrong us wrong
2,Al-Baqarah,1,58,Kuran,remember say enter city eat freely wherever please enter gate humility say absolve us forgive sin multiply reward
2,Al-Baqarah,1,59,Kuran,wrongdoers change word command say send punishment heavens upon rebelliousness
2,Al-Baqarah,1,60,Kuran,remember moses pray water people say strike rock staff twelve spring gush tribe know drink place say eat drink allahs provision go spread corruption land
2,Al-Baqarah,1,61,Kuran,remember say moses endure meal every day call upon lord behalf bring forth us earth produce herbs cucumbers garlic lentils onions moses scold exchange better worse go village find ask stricken disgrace misery invite displeasure allah reject allahs sign unjustly kill prophets fair reward disobedience violations
2,Al-Baqarah,1,62,Kuran,indeed believers jews christians sabians
2,Al-Baqarah,1,63,Kuran,remember take covenant raise mountain say hold firmly scripture give observe teach perhaps become mindful allah
2,Al-Baqarah,1,64,Kuran,yet turn away afterwards allahs grace mercy upon would certainly losers
2,Al-Baqarah,1,65,Kuran,already aware break sabbath say disgrace ape
2,Al-Baqarah,1,66,Kuran,make fate example present future generations lesson
2,Al-Baqarah,1,67,Kuran,remember moses say people allah command sacrifice cow reply mock us moses respond seek refuge allah act foolishly
2,Al-Baqarah,1,68,Kuran,say call upon lord clarify us type cow reply allah say cow neither old young command
2,Al-Baqarah,1,69,Kuran,say call upon lord specify us colour reply allah say bright yellow cowpleasant see
2,Al-Baqarah,1,70,Kuran,say call upon lord may make clear us cow cow look us allah will guide right one
2,Al-Baqarah,1,71,Kuran,reply allah say use neither till soil water field wholesome without blemish say come truth yet still slaughter hesitantly
2,Al-Baqarah,1,72,Kuran,man kill dispute killer allah reveal conceal
2,Al-Baqarah,1,73,Kuran,instruct strike dead body piece cow easily allah bring dead life show sign may understand
2,Al-Baqarah,1,74,Kuran,even hearts become harden like rock even harder rock gush rivers others split spill water others humble awe allah allah never unaware
2,Al-Baqarah,1,75,Kuran,believers still expect true though group would hear word allah knowingly corrupt understand
2,Al-Baqarah,1,76,Kuran,meet believers say believe private say disclose believers knowledge allah reveal may use lord understand
2,Al-Baqarah,1,77,Kuran,know allah aware conceal reveal
2,Al-Baqarah,1,78,Kuran,among illiterate know nothing scripture except lie wishfully speculate
2,Al-Baqarah,1,79,Kuran,woe distort scripture hand say allahseeking fleet gain woe hand write woe earn
2,Al-Baqarah,1,80,Kuran,jews claim fire touch us except number days say prophet take pledge allahfor allah never break wordor say allah know
2,Al-Baqarah,1,81,Kuran,commit evil engross sin residents fire forever
2,Al-Baqarah,1,82,Kuran,believe good residents paradise forever
2,Al-Baqarah,1,83,Kuran,remember take covenant children israel state worship none allah kind parent relatives orphan needy speak kindly people establish prayer pay israelites turn awayexcept youand indifferent
2,Al-Baqarah,1,84,Kuran,remember take covenant would neither shed others blood expel home give pledge bore witness
2,Al-Baqarah,1,85,Kuran,kill expel people home aid one another sin aggression expel come captives still ransom themthough expel unlawful believe scripture reject rest reward among disgrace worldly life subject harshest punishment day judgment allah never unaware
2,Al-Baqarah,1,86,Kuran,ones trade hereafter life world punishment reduce help
2,Al-Baqarah,1,87,Kuran,indeed give moses book send successive messengers give jesus son mary clear proof support holy spirit every time messenger come israelites something like become arrogant reject kill others
2,Al-Baqarah,1,88,Kuran,say hearts unreceptive fact allah condemn disbelief little faith
2,Al-Baqarah,1,89,Kuran,although use pray victory mean prophet polytheists confirm scripture hand reject may allahs condemnation upon disbelievers
2,Al-Baqarah,1,90,Kuran,miserable price sell souls fordenying allahs revelation resent allah grant grace whoever will servants earn wrath upon wrath disbelievers suffer humiliate punishment
2,Al-Baqarah,1,91,Kuran,say believe allah reveal reply believe send us deny come afterwards though truth confirm scriptures ask prophet kill allahs prophets truly believers
2,Al-Baqarah,1,92,Kuran,indeed moses come clear proof worship calf absence act wrongfully
2,Al-Baqarah,1,93,Kuran,take covenant raise mountain say hold firmly scripture give obey answer hear disobey love calf root hearts disbelief say prophet evil belief prompt actually believe torah
