sure_no,sure_ismi,bolum,ayet_no,kaynak,ayet
1,Al-Fatihah,1,1,Kuran,name allahth compassion merci
1,Al-Fatihah,1,2,Kuran,prais allahlord world
1,Al-Fatihah,1,3,Kuran,compassion merci
1,Al-Fatihah,1,4,Kuran,master day judgment
1,Al-Fatihah,1,5,Kuran,alon worship alon ask help
1,Al-Fatihah,1,6,Kuran,guid us along straight path
1,Al-Fatihah,1,7,Kuran,path blessednot displeas astray
2,Al-Baqarah,1,1,Kuran,
2,Al-Baqarah,1,2,Kuran,book doubt
2,Al-Baqarah,1,3,Kuran,believ unseen establish prayer donat provid
2,Al-Baqarah,1,4,Kuran,believ reveal prophet reveal sure faith hereaft
2,Al-Baqarah,1,5,Kuran,truli guid lord success
2,Al-Baqarah,1,6,Kuran,persist disbelief whether warn notthey never believ
2,Al-Baqarah,1,7,Kuran,allah seal heart hear sight cover suffer tremend punish
2,Al-Baqarah,1,8,Kuran,say believ allah last day yet true believ
2,Al-Baqarah,1,9,Kuran,seek deceiv allah believ yet deceiv fail perceiv
2,Al-Baqarah,1,10,Kuran,sick heart allah let sick increas suffer pain punish lie
2,Al-Baqarah,1,11,Kuran,told spread corrupt land repli
2,Al-Baqarah,1,12,Kuran,inde corruptor fail perceiv
2,Al-Baqarah,1,13,Kuran,told believ other believ repli believ fool believ inde fool know
2,Al-Baqarah,1,14,Kuran,meet believ say believ alon evil associ say definit mock
2,Al-Baqarah,1,15,Kuran,allah throw mockeri back leav continu wander blind defianc
2,Al-Baqarah,1,16,Kuran,one trade guidanc misguid trade profitless right guid
2,Al-Baqarah,1,17,Kuran,exampl someon kindl fire light around allah take away light leav complet darknessun see
2,Al-Baqarah,1,18,Kuran,wil deaf dumb blind never return right path
2,Al-Baqarah,1,19,Kuran,caught rainstorm sky dark thunder lightn press finger ear sound everi fear death allah encompass disbeliev might
2,Al-Baqarah,1,20,Kuran,lightn snatch away sight whenev lightn strike walk light dark cover stand still allah will could taken away hear sight sure allah capabl everyth
2,Al-Baqarah,1,21,Kuran,human worship lord creat may becom mind
2,Al-Baqarah,1,22,Kuran,one made earth place settlement sky canopi send rain sky caus fruit grow provis know set equal allah worship
2,Al-Baqarah,1,23,Kuran,doubt reveal servant produc srah like call helper allah say true
2,Al-Baqarah,1,24,Kuran,unabl soand never abl sothen fear fire fuell peopl stone prepar disbeliev
2,Al-Baqarah,1,25,Kuran,give good news prophet believ good garden river flow whenev provid fruit say given serv fruit look similar tast differ pure spous forev
2,Al-Baqarah,1,26,Kuran,sure allah shi away use parabl mosquito even smaller believ know truth lord disbeliev argu allah mean parabl test leav mani stray guid mani leav none stray except rebelli
2,Al-Baqarah,1,27,Kuran,violat allah coven affirm break whatev tie allah order maintain spread corrupt land true loser
